,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,category,,,,,
2775,kUntNQ5P9IrRzEoHdRxV-w,"""Mark Rich's New York Pizza & Pasta""",Centennial,"""7930 W Tropical Pkwy""",Las Vegas,NV,89149,36.2710367,-115.267937,3,98,0,other,,,,,
2854,jxbEwtV8Et1lm8ubk4AGuw,"""Mimosas Gourmet""",Spring Valley,"""3455 S Durango Dr, Ste 114""",Las Vegas,NV,89117,36.1271903,-115.2800102,4.5,205,1,other,,,,,
3152,B19KKE75ZxqoR3EDuvA1qw,"""China Star""",Westside,"""4595 W Charleston Blvd""",Las Vegas,NV,89102,36.1586341,-115.2030893,3,69,1,Chinese,,,,,
3196,SknYYIK1rBNgYqNl4tYUPA,"""Marias Taco Shop""",Southeast,"""7380 S Eastern Ave, Ste 118""",Las Vegas,NV,89123,36.055748,-115.1170812,3.5,31,1,Mexican,,,,,
3214,5qK5rJxwo0cjP3vTf3lkSA,"""Little Caesars Pizza""",Northwest,"""6621 W Cheyenne Ave""",Las Vegas,NV,89108,36.2178018,-115.2406243,1.5,24,1,other,,,,,
3239,j2w6wlRmlaZaaErQus8ElQ,"""Pita House""",Southeast,"""1310 E Silverado Ranch Blvd, Ste 101""",Las Vegas,NV,89183,36.01408718,-115.1351311,4.5,243,1,Mediterranean,,,,,
3244,9hNuOUywLPHdSbAXtQ9DhQ,"""Slices Pizzeria""",,"""4111 Boulder Hwy""",Las Vegas,NV,89121,36.1337103,-115.0850568,3,10,1,other,,,,,
3450,HiqYus6muaBFlZtHhES7XQ,"""Del Taco""",Southwest,"""4800 W Cactus Ave""",Las Vegas,NV,89141,35.99874124,-115.2055067,2,24,1,Mexican,,,,,
3593,S1N5-ZXwR4fUIPs6dLnBYQ,"""Hue Thai""",Chinatown,"""5115 Spring Mountain Rd, Ste 223""",Las Vegas,NV,89146,36.125587,-115.211199,3.5,318,1,Chinese,,,,,
3671,GRLHdCXzmFCBbvvjRxXnrA,"""Dinner in the Sky""",Westside,"""2800 West Sahara Ave""",Las Vegas,NV,89102,36.145296,-115.1794176,3.5,3,0,American,,,,,
3874,Wlcl0ITWjyhqCiSlPmSAlg,"""Billy Bob's Steakhouse""",,"""5111 Boulder Hwy""",Las Vegas,NV,89122,36.1128082,-115.0622887,3,104,0,other,,,,,
3957,uHUcYpGlcdlu5m7oiZGY6w,"""Max's Restaurant""",University,"""1290 E Flamingo Rd""",Las Vegas,NV,89119,36.114859,-115.136639,3,345,1,other,,,,,
4155,z65wZ11iw7Y-WBZ9UDZhnA,"""Pisa Pizza""",The Strip,"""3635 S Las Vegas Blvd, Ste 103""",Las Vegas,NV,89109,36.11431308,-115.1724348,4,36,1,other,,,,,
4175,kQabQnNavQ7FgfyuXf8Niw,"""Papa Murphy's""",Southwest,"""8595 S Decatur Blvd""",Las Vegas,NV,89139,36.0335123,-115.2084299,3.5,28,1,other,,,,,
4178,TW58a4UkMcksdfQ7znUqsA,"""Doh Korean BBQ""",Southwest,"""7920 S Rainbow Blvd, Ste 105""",Las Vegas,NV,89139,36.0447183,-115.2427053,4,308,1,other,,,,,
4239,SWZ_GqiaAoc4JoUOosF0mg,"""The Sugar Corner""",University,"""1083 E Tropicana Ave""",Las Vegas,NV,89119,36.10069246,-115.1394494,4,43,1,other,,,,,
4253,m5niZy68d2gTtVWz89elfA,"""Slidin Thru""",Southeast,"""6478 Windy Rd""",Las Vegas,NV,89119,36.071643,-115.176101,4,364,1,other,,,,,
4307,3CxiP8n7DAL-YOOTCW2wNw,"""Jack in the Box""",Spring Valley,"""7025 S Durango Dr""",Las Vegas,NV,89113,36.059982,-115.279878,2.5,35,1,Fast Food,,,,,
4388,YHN7wVaOFp9wkl_w7NXLXw,"""Kens Burgers and Pizza""",Southeast,"""7141 S Eastern Ave, Ste D""",Las Vegas,NV,89119,36.059631,-115.119423,1,4,0,other,,,,,
4395,SN6mvy2vbXL0F_CYFkx8zg,"""La Scala""",Eastside,"""1020 E Desert Inn Rd""",Las Vegas,NV,89109,36.130315,-115.140852,4,56,0,Italian,,,,,
4535,O0DxNujKaN-KIfcgbV3MgA,"""Pollo Inka Express""",Downtown,"""2440 S Maryland Pkwy""",Las Vegas,NV,89104,36.14453102,-115.1375459,4,123,1,American,,,,,
4626,riFzCvp77DMKDX-5GoTpqA,"""Steak 'n Shake""",Southeast,"""9777 Las Vegas Blvd S""",Las Vegas,NV,89183,36.01140626,-115.1757787,3.5,778,1,other,,,,,
4679,IRzXVRIzRoYpnjaVXF3vNA,"""Northside Café and Chinese Kitchen""",The Strip,"""SLS Las Vegas, 2535 S. Las Vegas Blvd""",Las Vegas,NV,89109,36.1423259,-115.1561477,3.5,512,1,other,,,,,
4719,S_PEroRv40j1In11gNH2LQ,"""Five Guys""",,"""7290 W Lake Mead Blvd""",Las Vegas,NV,89128,36.196525,-115.2507281,4,137,1,Fast Food,,,,,
4758,HcFNeUjeqzhHw1Lk0FZarg,"""Jersey's Bar & Grill""",Westside,"""4760 W Sahara Ave""",Las Vegas,NV,89102,36.1465042,-115.2072072,4,5,0,other,,,,,
4784,jjJ06LdxITpFaz_EQaEvWQ,"""Vegas Drink And Grill""",The Strip,"""3061 South Las Vegas Blvd S, Ste 1A""",Las Vegas,NV,89109,36.1314994,-115.1641624,2.5,3,1,American,,,,,
4804,ZGwOOa93pc5hnsCLUgJJpQ,"""Subway""",Westside,"""4700 Meadows Ln, Ste 150""",Las Vegas,NV,89107,36.17122232,-115.2051131,3,4,1,Fast Food,,,,,
4865,nupAsas-_hc8225O_5APMQ,"""Harold's Chicken & Fish""",Northwest,"""7450 W Cheyenne Ave""",Las Vegas,NV,89129,36.2185429,-115.2595642,3.5,10,0,American,,,,,
4988,8fjF2NIPSM0Ar1hed2tdog,"""Gilligan's HideAway""",Eastside,"""2601 Atlantic St""",Las Vegas,NV,89121,36.142401,-115.114898,4.5,29,0,other,,,,,
5054,ixGcDkuUrkAlRuqf42nbEA,"""Port of Subs""",,"""4388 E Craig Rd, Ste 155""",Las Vegas,NV,89115,36.2410685,-115.0779957,3.5,11,1,other,,,,,
5334,nKbuoq0Kqdv0tSLFJhwFVQ,"""Bajio Mexican Grill""",Spring Valley,"""4235 S Ft Apache Rd, Ste 250""",Las Vegas,NV,89147,36.1122889,-115.297923,3.5,9,0,Mexican,,,,,
5618,gKPGer8_b532vRzEjsXQxA,"""Strings Italian Cafe""",Eastside,"""2222 E Tropicana Ave""",Las Vegas,NV,89119,36.1004963,-115.121475,3.5,48,0,Italian,,,,,
5632,WRbBmXMHmdWOkeGp21OoeA,"""Mamma Olivia""",Eastside,"""3528 S Maryland Pkwy""",Las Vegas,NV,89169,36.1249276,-115.1354186,5,5,1,Italian,,,,,
5678,e--8ev5DbM_5cbveVTWAEg,"""Max Cooking Mediterranean Experience""",,"""5161 River Glen Dr""",Las Vegas,NV,89103,36.110073,-115.212703,5,4,0,other,,,,,
6020,ZfBKZPd2rdpW19m91YnHXw,"""Broadway Pizzeria""",Westside,"""8125 W Sahara""",Las Vegas,NV,89117,36.1437655,-115.2690556,4.5,9,0,other,,,,,
6085,VsIx1NnhM5PA8prJjIZNYg,"""Mermaid Restaurant & Lounge""",Southwest,"""3333 Blue Diamond Rd""",Las Vegas,NV,89139,36.0412834,-115.1833103,3.5,58,1,other,,,,,
6113,cgZOP1ZUBOZmEQMSJ53oiQ,"""Chef Marc's Trattoria""",The Lakes,"""8615 W Sahara Ave""",Las Vegas,NV,89117,36.14296907,-115.2801029,4.5,187,1,Italian,,,,,
6245,A81a8oV8DAxnGLY2_r8dUQ,"""Tapioca Express""",Eastside,"""3910 S Maryland Pkwy, Ste 9""",Las Vegas,NV,89119,36.117891,-115.136879,3.5,115,1,other,,,,,
6261,5t9kTG9DakuamJgY65HA7w,"""La Casona Bar & Grill""",Eastside,"""2600 E Flamingo Rd""",Las Vegas,NV,89121,36.1153932,-115.1140608,2.5,47,1,Mexican,,,,,
6294,inuW6Gl02Mf8G5RRk39_lw,"""Chada Street""",Chinatown,"""3839 Spring Mountain Rd""",Las Vegas,NV,89102,36.1261759,-115.1909378,4,174,1,other,,,,,
6369,jCNBZnkIFv_0omLVTgNR6Q,"""Pure Indian Cuisine""",Southeast,"""1405 E Sunset Rd, Ste 200""",Las Vegas,NV,89119,36.0712104,-115.1341397,4.5,306,1,other,,,,,
6426,q6LaVR4FlIyRC9yWIW5IXg,"""Towers Deli""",The Strip,"""The Venetian Hotel/Casino, 3355 Las Vegas Blvd""",Las Vegas,NV,89109,36.1214517,-115.1696112,3.5,31,0,other,,,,,
6491,K-0pdH5hZQVeoUmYSNygQw,"""El Ausente""",Downtown,"""2536 Fremont St""",Las Vegas,NV,89104,36.157312,-115.1151063,4.5,32,1,Mexican,,,,,
6596,hroo5nOO8b9QhHX0GLg7oA,"""Pho So 1""",Chinatown,"""4745 Spring Mountain Rd""",Las Vegas,NV,89102,36.1249835,-115.2064306,3.5,838,0,other,,,,,
6687,Fanu7vgveGy1LyLV8R9aMA,"""Indian Theme Bistro印第安啤酒屋""",Chinatown,"""3460 Arville St, Ste 7""",Las Vegas,NV,89102,36.12703933,-115.1988206,5,5,0,other,,,,,
6837,5pmZjodq-9PZ0gDn5epHVw,"""Crustacean Restaurant""",The Strip,"""3663 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1107323,-115.1722365,4,6,0,other,,,,,
6850,o5TNm5Iaah14KtOqjkGcxg,"""Goldfinger's Bar & Grille""",,"""6436 N Decatur Blvd""",Las Vegas,NV,89131,36.2781145,-115.206376,2.5,30,0,American,,,,,
6863,o5nPu-ITfZ2OYx-6cU3moQ,"""Beanz Coffee Cafe""",Southwest,"""4830 Blue Diamond Rd, Ste 130""",Las Vegas,NV,89139,36.0349231,-115.2071412,4,42,0,other,,,,,
6897,Wo_ZL7I3hS-eW6pJWg1V8A,"""Church's Chicken""",Sunrise,"""868 N Nellis Blvd""",Las Vegas,NV,89110,36.1754284,-115.06179,2,13,1,other,,,,,
7028,PelhNV5WsvEJjhUShubLvQ,"""La Mexicana Bakery & Deli""",Chinatown,"""3675 S Decatur Blvd, Ste 1""",Las Vegas,NV,89103,36.1229755,-115.2090921,4,14,0,other,,,,,
7040,3h5jLa-kbHg0cL7v9En0Lg,"""Firelight Buffet""",,"""5111 Boulder Hwy""",Las Vegas,NV,89122,36.1128082,-115.0622887,3,175,1,Buffets,,,,,
7099,cRTMAbJiyd6xJ9eKj357YQ,"""Best Burger""",Westside,"""4604 W Sahara Ave""",Las Vegas,NV,89102,36.1450397,-115.204936,3.5,3,0,other,,,,,
7106,SGHTKGDcNXwdtw-ZMNbrcg,"""Bollywood Grill Indian Cusine""",Westside,"""6840 W Sahara Ave""",Las Vegas,NV,89146,36.1442339,-115.2418447,3,39,0,other,,,,,
7215,CVt6kBVBABSq-NA_FZfrVw,"""Shawarma Vegas""",The Lakes,"""2521 S Fort Apache Rd""",Las Vegas,NV,89117,36.1433621,-115.2981119,4,119,1,other,,,,,
7247,ueko6OhJaHNDy1Ynfrb3vw,"""Chicken Now Venetian""",The Strip,"""3355 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1214517,-115.1696112,3,32,1,other,,,,,
7248,cyV6Y8eOgpDTtdJQnB6FaA,"""ESPN Zone""",The Strip,"""3790 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1030009,-115.1735161,3.5,67,0,other,,,,,
7516,uGW5mFIm62PFF8bpk0wiMg,"""Romaine Empire""",The Strip,"""3570 South Las Vegas Blvd""",Las Vegas,NV,89109,36.1161559,-115.1750576,3.5,13,1,other,,,,,
7645,eHXUyMf64ynMzHaf0LdGgg,"""Tups Specialty Sandwiches""",Southeast,"""2381 E Windmill Ln""",Las Vegas,NV,89123,36.041104,-115.1208125,4.5,136,1,American,,,,,
7772,LEzaRCdhDfO2eM75HZNnUQ,"""Blue Sea Sushi and Izakaya""",Southeast,"""500 E Windmill Ln, Ste 165""",Las Vegas,NV,89123,36.0428966,-115.1520552,4,328,1,Japanese,,,,,
7841,nK7JeIqdBli3umEhBIh33g,"""Lucio Ristorante""",The Lakes,"""8615 W Sahara Ave""",Las Vegas,NV,89117,36.1439829,-115.2796682,4,32,0,Italian,,,,,
7948,966W5oXOBW0ZWhNYy0yjcA,"""Wendy's Noodle Cafe""",Chinatown,"""3401 S Jones Blvd""",Las Vegas,NV,89146,36.12754745,-115.2252169,4,519,1,Chinese,,,,,
7991,H5Y6o9H4rtxbHJFgLqI6Fw,"""Chili's""",,"""2011 N Rainbow Blvd""",Las Vegas,NV,89108,36.198756,-115.2425637,3,154,1,other,,,,,
8025,MDSQf7tnGLjeOcujX5DjHA,"""Island Style B.B.Q.""",Spring Valley,"""3555 S Durango Dr, Ste B101""",Las Vegas,NV,89147,36.1248977,-115.2791715,2.5,6,0,other,,,,,
8192,SwlY-14bP08sG248yfoBgQ,"""Dona Norma Restaurant""",Downtown,"""1122 S Maryland Pkwy""",Las Vegas,NV,89104,36.1577649,-115.1371441,4,19,0,Latin American,,,,,
8620,u3nwislXMKKwkpHAXAArbQ,"""KJ Kitchen""",Chinatown,"""5960 Spring Mountain Rd""",Las Vegas,NV,89146,36.1258098,-115.2230979,3.5,282,1,Chinese,,,,,
8666,xwoM2Zc38DFKv3-8dCU8Pw,"""Manhattan Pizza IV""",Northwest,"""3950 N Tenaya Way""",Las Vegas,NV,89129,36.2322239,-115.2509803,3,48,1,other,,,,,
8671,wkKlpSx3OcoGJiv7p8VZzw,"""Sparrow + Wolf""",Chinatown,"""4480 Spring Mountain Rd, Ste 100""",Las Vegas,NV,89102,36.1266955,-115.2013006,4.5,205,1,American,,,,,
8673,NRn6yqCq3yAh7NtKBt79xQ,"""Martorano's""",,"""Rio All-Suite Hotel & Casino, 3700 W Flamingo Road""",Las Vegas,NV,89103,36.1164467,-115.1848942,3.5,176,0,Italian,,,,,
8710,YRyYbOSwvHkZsZOLv98oQg,"""Estiatorio Milos""",The Strip,"""3708 Las Vegas Blvd S""",Las Vegas,NV,89109,36.10939219,-115.173773,4,932,1,Greek,,,,,
8731,d9N9po3OjG4AjyxOylFnmQ,"""Del Taco""",Downtown,"""1802 E Charleston Blvd""",Las Vegas,NV,89104,36.1585667,-115.1247518,3,11,1,Mexican,,,,,
8810,UT6L3b7Zll_nvRidijiDSA,"""Five50 Pizza Bar""",The Strip,"""3730 Las Vegas Blvd S""",Las Vegas,NV,89109,36.10651955,-115.1769565,4,588,1,other,,,,,
8922,6r8YOdxoNYfkEfqxl-nO1A,"""Subway""",The Strip,"""3411 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1207056,-115.1717867,2,17,1,Fast Food,,,,,
9004,IMIVelJKQ5fuqyFMFbzK-w,"""Jammin Jerk Hut""",Eastside,"""3333 S Maryland Pkwy""",Las Vegas,NV,89169,36.128998,-115.137672,3,26,0,other,,,,,
9118,gOOfBSBZlffCkQ7dr7cpdw,"""Chica""",The Strip,"""3355 South Las Vegas Blvd, Ste 106""",Las Vegas,NV,89109,36.1226902,-115.1701939,4.5,264,1,Mexican,,,,,
9146,QH1lePb3lwTKRF_OXH_6uw,"""Opa Restaurant""",Westside,"""2550 S Rainbow Blvd, Ste W1""",Las Vegas,NV,89146,36.14294,-115.242469,3.5,62,0,Greek,,,,,
9345,fHNWz_t5jM5MP8o19flX8w,"""Port of Subs""",Spring Valley,"""10120 W Flamingo Rd, Ste 5""",Las Vegas,NV,89147,36.1166554,-115.3135184,3.5,14,1,other,,,,,
9397,Rw-xnNlDuwekyMw_THUfGg,"""Sports Deli""",,"""3700 W Flamingo Rd""",Las Vegas,NV,89103,36.11680172,-115.1885337,3,95,1,other,,,,,
9454,aT_SsfZ6GQgJGyuIv1Hapw,"""Bouchon Bakery at the Venetian Casino""",The Strip,"""3355 Las Vegas Blvd S, Ste 10101, The Venetian Resort Hotel & Casino""",Las Vegas,NV,89109,36.121774,-115.169229,4,1032,1,other,,,,,
9640,c5TOGBUCCUUNBPM7h_KbmQ,"""Fausto's Mexican Grill""",Southwest,"""7835 S Rainbow Blvd, Ste 20""",Las Vegas,NV,89139,36.04601894,-115.2440145,4,140,1,other,,,,,
9681,5fSz08wFcBhCeCXh7sxG5A,"""Runway Cafe""",Southeast,"""275 East Tropicana Ave""",Las Vegas,NV,89169,36.098988,-115.161644,4.5,8,1,American,,,,,
9791,Za7NNCyOPnwem4xATpKSbg,"""Cafe Rio""",,"""2600 W Sahara Ave""",Las Vegas,NV,89102,36.14517489,-115.1759789,3,15,1,Mexican,,,,,
9823,wZCdr3iLTE6aa9kiVxWJWQ,"""SLO-Boy""",Downtown,"""1516 S Las Vegas Blvd""",Las Vegas,NV,89104,36.15221559,-115.1520205,4.5,35,0,American,,,,,
9851,OM31QC8tyTOXZgK0FDz_hw,"""Del Taco""",,"""5526 Boulder Hwy""",Las Vegas,NV,89122,36.10208156,-115.0531421,3,26,1,Mexican,,,,,
9994,uUlq6chIVb0I8AehlET5bQ,"""Jack in the Box""",,"""3235 W Tropicana Ave""",Las Vegas,NV,89103,36.100292,-115.184154,2.5,25,1,Fast Food,,,,,
10008,KTjfQxsQDKWP0dWXBCyXuA,"""Famous Dave's Bar-B-Que""",,"""2630 E Craig Rd""",Las Vegas,NV,89030,36.24064501,-115.1138313,3.5,173,1,other,,,,,
10039,6tCMxC7Etf--WYEd-EiprA,"""Tostadas & Tacos""",Northwest,"""4016 N Tenaya Way""",Las Vegas,NV,89129,36.2336319,-115.2509288,4.5,30,0,other,,,,,
10402,AN6HjBZeEcLgekQawgmS3w,"""Jack in the Box""",Chinatown,"""4970 Spring Mountain Rd""",Las Vegas,NV,89146,36.1264817,-115.2090104,1.5,10,1,Fast Food,,,,,
10446,UAEoomKQwpiFhaJSzrboQA,"""Bosa 1""",Chinatown,"""3400 S Jones Blvd, Ste 2A""",Las Vegas,NV,89146,36.127754,-115.224318,4,87,0,other,,,,,
10567,El4FC8jcawUVgw_0EIcbaQ,"""MGM Grand Hotel""",The Strip,"""3799 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1022507,-115.1699679,3,3444,1,other,,,,,
10699,0APIz0O0c_XBDXQIWkJimA,"""King Solomon's Table""",,"""4561 W Flamingo Rd""",Las Vegas,NV,89103,36.1148137,-115.2031568,4,5,1,Mediterranean,,,,,
10833,GKCX2DlxkbwY2DUu44u4rA,"""Super Mex Restaurant & Cantina""",Spring Valley,"""6450 S Durango Dr""",Las Vegas,NV,89113,36.071411,-115.278723,3,63,0,Mexican,,,,,
10968,J7EUrh1q3lgENaoTrHZl_w,"""Ogden's Hops and Harvest""",Westside,"""450 S Rampart Blvd, Ste 120""",Las Vegas,NV,89145,36.1672912,-115.2869529,3.5,71,0,American,,,,,
11098,zCuFlGmDGFyj3ytMfmnXEw,"""Long John Silver's""",Northwest,"""3270 N Durango Dr""",Las Vegas,NV,89129,36.220954,-115.278276,2,13,0,other,,,,,
11158,KUOa1acSFn6DkO9jp-sn6A,"""Famous Dave's Bar-B-Que""",Southwest,"""4390 Blue Diamond Rd""",Las Vegas,NV,89139,36.0372728,-115.1984441,3.5,278,1,other,,,,,
11363,HUKbH7r9TBJPri6LJbBKtw,"""Tacos Mexico""",,"""1800 Las Vegas Blvd S""",Las Vegas,NV,89104,36.1500208,-115.1537167,3,116,1,Mexican,,,,,
11386,wyPkRQg3F5Yz2WqRFax7-g,"""Munchbar""",The Strip,"""3570 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1171675,-115.177901,3,132,0,American,,,,,
11639,35tWXOOJpWB2feUAEJyJyg,"""Taco Bell""",Southeast,"""8150 Blue Diamond Rd""",Las Vegas,NV,89113,36.04285314,-115.1798487,3.5,7,1,Fast Food,,,,,
11780,8Yz1eFsaUy-ny3B6YZDOrg,"""Outback Steakhouse""",Southeast,"""7380 Las Vegas Blvd S""",Las Vegas,NV,89123,36.05578846,-115.1715902,3.5,243,1,other,,,,,
11795,lTixk1IT-D4hoMZ6LgoyHQ,"""The Barrymore""",The Strip,"""99 Convention Center Dr""",Las Vegas,NV,89109,36.132034,-115.1626637,4,820,1,American,,,,,
11836,r-jaMF7dyyaiOXlcmQJRdQ,"""Jersey Mike's Subs""",Westside,"""1772 S Rainbow Blvd, Ste 120""",Las Vegas,NV,89146,36.1523324,-115.2428249,3.5,36,1,other,,,,,
11904,AurgTYGyCItvvgFp9NQBag,"""Subway""",Northwest,"""9196 W Cheyenne Ave, Ste 101""",Las Vegas,NV,89129,36.2194087,-115.2968576,2.5,11,1,other,,,,,
11962,cKXMA7AoyvrFKaZzNOp0nA,"""Tuscany Gardens""",Eastside,"""255 E Flamingo Rd""",Las Vegas,NV,89169,36.1133965,-115.1600873,4,102,1,Italian,,,,,
12198,Nw_-4DFjYK6BDG0CwNwSvQ,"""Pizza Hut""",Southeast,"""6510 Boulder Hwy, Bldg F, Suite 102""",Las Vegas,NV,89122,36.08327572,-115.0322995,2,32,1,Italian,,,,,
12644,IRbgMt0cVuzK1KSppU16_Q,"""Andrea's""",The Strip,"""3131 Las Vegas Blvd S""",Las Vegas,NV,89109,36.126878,-115.165747,4,445,1,other,,,,,
12783,foQZ6guS0l49trURKh7vlA,"""Double Barrel Roadhouse""",The Strip,"""3770 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1050697,-115.1733278,3.5,507,1,American,,,,,
